Marshal Sterns,Marchall Stearns
Model Lowe,Mundell Lowe
Mondell Lowe,Mundell Lowe
Nat Henthoff,Nat Hentoff
Neil Hefty,Neil Hefti
Sunny Stiff,Sonny Stitt
Walter Bishop,Walter Bishop, Jr.
Adam Clayton,Adam Clayton Powell
Walter Bishop,Walter Bishop, Jr.
Amos Bilburn,Amos Milburn
Andrew Taylor,William Andrew Taylor
William Andrew,William Andrew Taylor
Walter Fitzthomas,Walter "Foots" Thomas
Walter Foots,Walter "Foots" Thomas
Walter Footsthomas,Walter "Foots" Thomas
William Edward,William Edward Taylor
William Edward Taylor Junior,William Edward Taylor
Tiny Unintelligible,Tiny Grimes
Robert Lee,Robert Lee Taylor
Miles Band,Tommy Miles
Mary Riece,Mary Riece Europe
Marchall Stearns,Marshall Stearns
Louis Premer,Louis Prima
Charlie Shaffer,Charlie Shavers
Fat Navarro,Fats Navarro
Glen Island,Glen Island Casino
William D,William D. Simone
Willy D,William D. Simone
Billy Holiday,Billie Holiday
Ceasar Petrillo,Caesar Petrillo
Dodo Marmaroso,Dodo Marmarosa
Wendell Cully,Wendell Culley
Wardell Gray,Wardell Grey
Jimmie Lundsford,Jimmie Lunceford
Joe Morrison,Joe Morris
Joe Siegel,Joe Segal
Lou Smith,Louis Smith
Frank Fawcet,Frank Foster
John Arnold,Johnny Griffin
Kenny Peterson,Lucky Peterson
King Colax,King Kolax
Louie Prima,Louis Prima
Sonny Paine,Sonny Payne
Billy Eckstein,Billy Eckstine
Bud Johnson,Budd Johnson
Earl Fockaham,Earl Hines
Earl Himes,Earl Hines
Mary Louise,Mary Lou Williams
Eckstine W=,Billy Eckstine
Earl Potrella,Earl Partello
Jay McShain,Jay McShann
Sharon Long,Sarah Vaughan
Artie Shaw Fires,Art Shaw
Bruce Talbot Date,Bruce Talbot
Hot Lips,Hot Lips Page
Houston Pops,Houston Pops Orchestra
Art Shaw,Artie Shaw
Merenghito,Fats Ford
Charlie Christen,Charlie Christian
Coleman Hawkans,Coleman Hawkins
Jack Teagarten,Jack Teagarden
Sid Caplen,Sid Catlett
Duff Smith,Stuff Smith
Joe Hardwick,Otto Hardwick
Merle Williams,Mary Lou Williams
Rubber Legs,Rubberlegs Williams
Rufie Jones,Ruth Lee Jones
Gladys,Gladys Riddle
Tatum Elegy,Art Tatum
